x,Corediam_7.9445_Length_1000.0000_Core_index_2.0000
48.6,0.997832
48.800000000000004,0.997831
49.0,0.9978303
49.2,0.99783
49.400000000000006,0.9978299
49.6,0.9978299
49.800000000000004,0.99783
50.0,0.99783
50.2,0.9978296
50.400000000000006,0.9978287
50.6,0.9978274
50.800000000000004,0.9978256
51.0,0.9978235
51.2,0.9978211
51.400000000000006,0.9978186
51.6,0.9978159
51.800000000000004,0.9978133
52.0,0.9978109
52.2,0.9978086
52.400000000000006,0.9978065
52.6,0.997805
52.800000000000004,0.997804
53.0,0.9978036
53.2,0.9978039
53.400000000000006,0.9978048
53.6,0.9978061
53.800000000000004,0.9978077
54.0,0.9978092
54.2,0.9978105
54.400000000000006,0.9978115
54.6,0.997812
54.800000000000004,0.9978122
55.0,0.9978122
55.2,0.9978123
55.400000000000006,0.9978126
55.6,0.9978132
55.800000000000004,0.997814
56.0,0.997815
56.2,0.9978157
56.400000000000006,0.9978164
56.6,0.9978166
56.800000000000004,0.9978166
57.0,0.9978164
57.2,0.9978164
57.400000000000006,0.9978169
57.6,0.9978181
57.800000000000004,0.9978201
58.0,0.9978231
58.2,0.9978266
58.400000000000006,0.9978304
58.6,0.997834
58.800000000000004,0.9978369
59.0,0.9978391
59.2,0.9978403
59.400000000000006,0.9978408
59.6,0.9978406
59.800000000000004,0.99784
60.0,0.9978396
60.2,0.9978395
60.400000000000006,0.9978396
60.6,0.99784
60.800000000000004,0.9978407
61.0,0.9978412
61.2,0.9978414
61.400000000000006,0.9978412
61.6,0.9978405
61.800000000000004,0.9978393
62.0,0.9978378
62.2,0.9978362
62.400000000000006,0.9978347
62.6,0.9978334
62.800000000000004,0.9978323
63.0,0.9978316
63.2,0.9978313
63.400000000000006,0.9978315
63.6,0.997832
63.800000000000004,0.997833
64.0,0.9978343
64.2,0.997836
64.4,0.997838
64.60000000000001,0.99784
64.8,0.997842
65.0,0.9978436
65.2,0.9978449
65.4,0.9978458
65.60000000000001,0.9978462
65.8,0.9978461
66.0,0.9978458
66.2,0.9978453
66.4,0.9978446
66.60000000000001,0.9978441
66.8,0.9978437
67.0,0.9978435
67.2,0.9978436
67.4,0.9978439
67.60000000000001,0.9978444
67.8,0.9978452
68.0,0.9978464
68.2,0.9978477
68.4,0.9978492
68.60000000000001,0.9978507
68.8,0.997852
69.0,0.9978529
69.2,0.9978533
69.4,0.9978535
69.60000000000001,0.9978533
69.8,0.9978531
70.0,0.9978532
70.2,0.9978539
70.4,0.9978552
70.60000000000001,0.9978573
70.8,0.99786
71.0,0.9978631
71.2,0.9978663
71.4,0.9978695
71.60000000000001,0.9978724
71.8,0.997875
72.0,0.9978776
72.2,0.9978802
72.4,0.9978831
72.60000000000001,0.9978865
72.8,0.9978903
73.0,0.9978944
73.2,0.9978985
73.4,0.9979022
73.60000000000001,0.9979051
73.8,0.9979069
74.0,0.9979075
74.2,0.997907
74.4,0.9979057
74.60000000000001,0.9979041
74.8,0.9979026
75.0,0.9979018
75.2,0.9979017
75.4,0.9979025
75.60000000000001,0.997904
